user,itemId,score,rank,category,title,genres
0,3008,4.584971,1,short_head,Last Night (1998),Drama|Sci-Fi
0,1395,4.675776,2,long_tail,Tin Men (1987),Comedy|Drama
0,2075,4.5618944,3,short_head,Mephisto (1981),Drama|War
0,2427,4.5575786,4,short_head,"Thin Red Line, The (1998)",Action|Drama|War
0,2097,4.5555143,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
1,3008,4.3094945,1,short_head,Last Night (1998),Drama|Sci-Fi
1,1395,4.452939,2,long_tail,Tin Men (1987),Comedy|Drama
1,2075,4.273569,3,short_head,Mephisto (1981),Drama|War
1,2427,4.2670293,4,short_head,"Thin Red Line, The (1998)",Action|Drama|War
1,3066,4.3841057,5,long_tail,Tora! Tora! Tora! (1970),Action|Drama|War
2,3008,3.765708,1,short_head,Last Night (1998),Drama|Sci-Fi
2,1395,4.0435557,2,long_tail,Tin Men (1987),Comedy|Drama
2,2075,3.701459,3,short_head,Mephisto (1981),Drama|War
2,3162,3.9109735,4,long_tail,Simpatico (1999),Comedy|Drama
2,3066,3.907628,5,long_tail,Tora! Tora! Tora! (1970),Action|Drama|War
3,3008,4.2669063,1,short_head,Last Night (1998),Drama|Sci-Fi
3,1395,4.4183154,2,long_tail,Tin Men (1987),Comedy|Drama
3,2075,4.228909,3,short_head,Mephisto (1981),Drama|War
3,3066,4.346431,4,long_tail,Tora! Tora! Tora! (1970),Action|Drama|War
3,2427,4.221141,5,short_head,"Thin Red Line, The (1998)",Action|Drama|War
4,3008,4.2600923,1,short_head,Last Night (1998),Drama|Sci-Fi
4,1395,4.4119596,2,long_tail,Tin Men (1987),Comedy|Drama
4,2075,4.2220607,3,short_head,Mephisto (1981),Drama|War
4,2427,4.215142,4,short_head,"Thin Red Line, The (1998)",Action|Drama|War
4,2097,4.2116036,5,short_head,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
5,3008,4.345564,1,short_head,Last Night (1998),Drama|Sci-Fi
5,1395,4.482841,2,long_tail,Tin Men (1987),Comedy|Drama
5,2075,4.311176,3,short_head,Mephisto (1981),Drama|War
5,3066,4.417074,4,long_tail,Tora! Tora! Tora! (1970),Action|Drama|War
5,2427,4.304766,5,short_head,"Thin Red Line, The (1998)",Action|Drama|War
6,3008,4.1533775,1,short_head,Last Night (1998),Drama|Sci-Fi
6,1395,4.3232527,2,long_tail,Tin Men (1987),Comedy|Drama
6,2075,4.1109853,3,short_head,Mephisto (1981),Drama|War
6,2427,4.1027765,4,short_head,"Thin Red Line, The (1998)",Action|Drama|War
