user,itemId,score,reg_score,rank,title,genres,ground_truth
0,1395,4.601656,4.523329901187978,1,Tin Men (1987),Comedy|Drama,
0,2795,4.499374,4.451508232887755,2,National Lampoon's Vacation (1983),Comedy,
0,8833,4.478371,4.459314244858762,3,Vanity Fair (2004),Drama|Romance,
0,3118,4.5193424,4.471264311607848,4,,,
0,2759,4.49245,4.444658213473381,5,Dick (1999),Comedy,
1,1395,4.357724,4.283550160996457,1,Tin Men (1987),Comedy|Drama,
1,3162,4.2986817,4.2072204224606775,2,Simpatico (1999),Comedy|Drama,
1,3611,4.2207203,4.16683875550615,3,,,
1,2795,4.2036524,4.15893267570658,4,National Lampoon's Vacation (1983),Comedy,
1,5646,4.3076363,4.243479976248234,5,Valmont (1989),Drama|Romance,
2,1395,3.8879051,3.821728012409616,1,Tin Men (1987),Comedy|Drama,
2,3544,3.695253,3.6087682531235066,2,Shakes the Clown (1992),Comedy,
2,5646,3.8051386,3.748466311109827,3,Valmont (1989),Drama|Romance,
2,3162,3.787353,3.706771059239164,4,Simpatico (1999),Comedy|Drama,
2,3611,3.6563067,3.609630487320271,5,,,
3,1395,4.254871,4.182447557246431,1,Tin Men (1987),Comedy|Drama,
3,6542,4.0587482,4.04147697611058,2,"Cuckoo, The (Kukushka) (2002)",Comedy|Drama|War,
3,3118,4.110533,4.066804160463049,3,,,
3,3611,4.0961604,4.043869002321933,4,,,
3,3066,4.1191473,4.075326584755106,5,Tora! Tora! Tora! (1970),Action|Drama|War,
4,1395,4.2803125,4.207456154518939,1,Tin Men (1987),Comedy|Drama,
4,5646,4.2252593,4.162329910156575,2,Valmont (1989),Drama|Romance,
4,5536,4.142969,4.09889499177324,3,,,
4,3162,4.2153735,4.1256847178682365,4,Simpatico (1999),Comedy|Drama,
4,3611,4.129896,4.077174085251828,5,,,
5,1395,4.4103103,4.335241157450574,1,Tin Men (1987),Comedy|Drama,
5,3611,4.2826877,4.2280150555549785,2,,,
5,5056,4.309933,4.254912761931724,3,,,
5,6542,4.252969,4.234871048622943,4,"Cuckoo, The (Kukushka) (2002)",Comedy|Drama|War,
5,2759,4.25712,4.211831620398988,5,Dick (1999),Comedy,
6,1395,4.195628,4.124213218688965,1,Tin Men (1987),Comedy|Drama,
6,3162,4.1245627,4.03680608627644,2,Simpatico (1999),Comedy|Drama,
6,2795,4.009942,3.967283096719296,3,National Lampoon's Vacation (1983),Comedy,
6,5056,4.065775,4.013871408016124,4,,,
6,3118,4.045585,4.002547015535071,5,,,
7,1395,4.3372097,4.263384855554459,1,Tin Men (1987),Comedy|Drama,
7,3611,4.196648,4.1430738895497425,2,,,
7,2158,4.263186,4.163409284835166,3,,,
7,5056,4.2265716,4.172615327226355,4,,,
7,5536,4.2091055,4.164327773642033,5,,,
8,1395,4.2651277,4.192529741246649,1,Tin Men (1987),Comedy|Drama,
8,3066,4.1327066,4.088741677872679,2,Tora! Tora! Tora! (1970),Action|Drama|War,
8,5646,4.2090936,4.146404943060368,3,Valmont (1989),Drama|Romance,
8,2158,4.1842227,4.0862940818705455,4,,,
8,6542,4.0737047,4.056369805843272,5,"Cuckoo, The (Kukushka) (2002)",Comedy|Drama|War,
9,1395,4.2085314,4.1368968030239675,1,Tin Men (1987),Comedy|Drama,
9,3611,4.046295,3.9946403341090426,2,,,
9,3066,4.069933,4.0266357787111975,3,Tora! Tora! Tora! (1970),Action|Drama|War,
9,3118,4.0612917,4.018086463847059,4,,,
9,5646,4.149079,4.08728405465471,5,Valmont (1989),Drama|Romance,
10,1395,4.4368873,4.361365778902743,1,Tin Men (1987),Comedy|Drama,
10,3066,4.332057,4.285971286449027,2,Tora! Tora! Tora! (1970),Action|Drama|War,
10,6542,4.2854886,4.2672524837737384,3,"Cuckoo, The (Kukushka) (2002)",Comedy|Drama|War,
10,3611,4.3141227,4.259048770336395,4,,,
10,4261,4.3756304,4.26391215628766,5,,,
11,1395,4.6482344,4.569115484521744,1,Tin Men (1987),Comedy|Drama,
11,3066,4.579014,4.53030091143669,2,Tora! Tora! Tora! (1970),Action|Drama|War,
11,3162,4.6135273,4.515367142697598,3,Simpatico (1999),Comedy|Drama,
11,5536,4.5743427,4.525679507154099,4,,,
11,5646,4.6188183,4.550027372481975,5,Valmont (1989),Drama|Romance,
12,1395,4.387142,4.312467420862076,1,Tin Men (1987),Comedy|Drama,
12,3118,4.2675614,4.222161845957979,2,,,
12,5056,4.2834625,4.228780024102393,3,,,
12,3066,4.2745657,4.229091593559752,4,Tora! Tora! Tora! (1970),Action|Drama|War,
12,3611,4.255352,4.201028377451795,5,,,
13,1395,4.4046683,4.329695253169283,1,Tin Men (1987),Comedy|Drama,
13,3611,4.2760353,4.221447624044215,2,,,
13,3066,4.2948027,4.2491132756497,3,Tora! Tora! Tora! (1970),Action|Drama|War,
13,2158,4.3370266,4.2355217182889895,4,,,
13,3118,4.287966,4.242349117360217,5,,,
14,1395,4.203106,4.131563697977269,1,Tin Men (1987),Comedy|Drama,
14,3611,4.039957,3.9883831267661236,2,,,
14,5646,4.1433287,4.081619516332099,3,Valmont (1989),Drama|Romance,
14,3118,4.055048,4.011909180499138,4,,,
14,6542,4.001375,3.98434806986058,5,"Cuckoo, The (Kukushka) (2002)",Comedy|Drama|War,
15,1395,4.2086496,4.137013045777666,1,Tin Men (1987),Comedy|Drama,
